p,dependencies,identifier
0.0,1,823
0.0047169811320754715,1,128
0.009433962264150943,1,2149
0.014150943396226415,1,1151
0.018867924528301886,1,350
0.02358490566037736,1,172
0.02830188679245283,1,3473
0.0330188679245283,1,513
0.03773584905660377,1,694
0.04245283018867924,1,1002
0.04716981132075472,1,3352
0.05188679245283019,1,89
0.05660377358490566,1,43
0.06132075471698113,1,23
0.0660377358490566,1,2522
0.07075471698113207,1,1023
0.07547169811320754,1,1423
0.08018867924528301,1,173
0.08490566037735849,1,239
0.08962264150943396,1,2611
0.09433962264150944,1,21
0.09905660377358491,1,2353
0.10377358490566038,1,59
0.10849056603773585,1,514
0.11320754716981132,1,1308
0.1179245283018868,1,1421
0.12264150943396226,1,833
0.12735849056603774,1,1019
0.1320754716981132,1,267
0.13679245283018868,1,993
0.14150943396226415,1,969
0.14622641509433962,1,2250
0.1509433962264151,1,3903
0.15566037735849056,1,1150
0.16037735849056603,1,863
0.1650943396226415,1,2729
0.16981132075471697,1,91
0.17452830188679244,1,3017
0.1792452830188679,1,781
0.18396226415094338,1,3384
0.18867924528301888,1,2365
0.19339622641509435,1,198
0.19811320754716982,1,1210
0.2028301886792453,1,1981
0.20754716981132076,1,583
0.21226415094339623,1,1146
0.2169811320754717,1,3
0.22169811320754718,1,3168
0.22641509433962265,1,2815
0.23113207547169812,1,2680
0.2358490566037736,1,249
0.24056603773584906,1,2836
0.24528301886792453,1,291
0.25,1,126
0.25471698113207547,1,2124
0.25943396226415094,1,565
0.2641509433962264,1,2289
0.2688679245283019,1,95
0.27358490566037735,1,1790
0.2783018867924528,1,602
0.2830188679245283,1,121
0.28773584905660377,1,2004
0.29245283018867924,1,2915
0.2971698113207547,1,2050
0.3018867924528302,1,1508
0.30660377358490565,1,676
0.3113207547169811,1,3117
0.3160377358490566,1,3654
0.32075471698113206,1,29
0.32547169811320753,1,1212
0.330188679245283,1,2496
0.33490566037735847,1,3634
0.33962264150943394,1,3750
0.3443396226415094,1,2035
0.3490566037735849,1,212
0.35377358490566035,1,1684
0.3584905660377358,1,639
0.3632075471698113,1,3472
0.36792452830188677,1,1180
0.37264150943396224,1,2452
0.37735849056603776,1,167
0.38207547169811323,1,983
0.3867924528301887,1,248
0.3915094339622642,2,1772
0.39622641509433965,2,1982
0.4009433962264151,2,326
0.4056603773584906,2,2299
0.41037735849056606,2,3562
0.41509433962264153,2,3739
0.419811320754717,2,1209
0.42452830188679247,2,93
0.42924528301886794,2,236
0.4339622641509434,2,372
0.4386792452830189,2,1262
0.44339622641509435,2,977
0.4481132075471698,2,488
0.4528301886792453,2,69
0.45754716981132076,2,84
0.46226415094339623,2,70
0.4669811320754717,2,2846
0.4716981132075472,2,1663
0.47641509433962265,2,1154
0.4811320754716981,2,1997
0.4858490566037736,2,1771
0.49056603773584906,2,33
0.49528301886792453,2,1207
0.5,2,331
0.5047169811320755,2,254
0.5094339622641509,2,1249
0.5141509433962265,2,115
0.5188679245283019,2,1627
0.5235849056603774,2,1679
0.5283018867924528,2,2163
0.5330188679245284,2,325
0.5377358490566038,3,252
0.5424528301886793,3,3471
0.5471698113207547,3,1025
0.5518867924528302,3,864
0.5566037735849056,3,48
0.5613207547169812,3,364
0.5660377358490566,3,491
0.5707547169811321,3,63
0.5754716981132075,3,1323
0.5801886792452831,3,53
0.5849056603773585,3,92
0.589622641509434,3,210
0.5943396226415094,3,327
0.5990566037735849,3,30
0.6037735849056604,3,635
0.6084905660377359,3,255
0.6132075471698113,3,424
0.6179245283018868,3,1842
0.6226415094339622,4,1006
0.6273584905660378,4,935
0.6320754716981132,4,2013
0.6367924528301887,4,3655
0.6415094339622641,4,240
0.6462264150943396,4,125
0.6509433962264151,4,123
0.6556603773584906,4,1214
0.660377358490566,4,270
0.6650943396226415,4,375
0.6698113207547169,4,264
0.6745283018867925,4,474
0.6792452830188679,4,1242
0.6839622641509434,4,184
0.6886792452830188,4,2084
0.6933962264150944,5,3018
0.6981132075471698,5,3182
0.7028301886792453,5,358
0.7075471698113207,5,1028
0.7122641509433962,5,713
0.7169811320754716,5,1277
0.7216981132075472,5,482
0.7264150943396226,6,35
0.7311320754716981,6,1320
0.7358490566037735,6,2730
0.7405660377358491,6,1088
0.7452830188679245,6,832
0.75,6,321
0.7547169811320755,6,235
0.7594339622641509,7,446
0.7641509433962265,7,12
0.7688679245283019,7,2766
0.7735849056603774,7,250
0.7783018867924528,7,429
0.7830188679245284,8,71
0.7877358490566038,8,655
0.7924528301886793,8,1329
0.7971698113207547,8,1561
0.8018867924528302,8,100
0.8066037735849056,9,1514
0.8113207547169812,9,1178
0.8160377358490566,9,780
0.8207547169811321,9,3791
0.8254716981132075,10,710
0.8301886792452831,12,3149
0.8349056603773585,13,224
0.839622641509434,13,716
0.8443396226415094,13,954
0.8490566037735849,14,592
0.8537735849056604,15,119
0.8584905660377359,15,60
0.8632075471698113,16,55
0.8679245283018868,18,177
0.8726415094339622,21,804
0.8773584905660378,22,14
0.8820754716981132,22,359
0.8867924528301887,23,24
0.8915094339622641,23,50
0.8962264150943396,24,7
0.9009433962264151,25,17
0.9056603773584906,31,64
0.910377358490566,33,3788
0.9150943396226415,34,13
0.9198113207547169,35,5
0.9245283018867925,37,42
0.9292452830188679,37,158
0.9339622641509434,40,355
0.9386792452830188,44,1978
0.9433962264150944,44,94
0.9481132075471698,94,4
0.9528301886792453,112,2
0.9575471698113207,116,82
0.9622641509433962,131,1533
0.9669811320754716,142,142
0.9716981132075472,164,699
0.9764150943396226,176,1977
0.9811320754716981,215,171
0.9858490566037735,749,1
0.9905660377358491,857,18
0.9952830188679245,1187,26
1.0,2055,31
