peers,peers_seen_r,dependencies,ix_id
2,0.5,1,234
2,0.5,1,3553
2,0.5,1,3750
2,0.5,2,3655
3,0.3333333333333333,1,1151
3,0.3333333333333333,1,2611
3,0.3333333333333333,1,635
3,0.6666666666666666,2,2050
4,0.25,1,993
5,0.2,1,1982
6,0.16666666666666666,1,607
6,0.6666666666666666,1,1421
6,0.8333333333333334,1,2250
7,0.2857142857142857,2,2572
9,0.1111111111111111,1,2522
10,0.1,1,1981
11,0.18181818181818182,1,3212
11,0.5454545454545454,1,392
12,0.08333333333333333,2,82
13,0.38461538461538464,1,2729
16,0.25,1,1519
17,0.058823529411764705,2,1423
17,0.11764705882352941,1,2836
18,0.05555555555555555,1,3182
18,0.3333333333333333,1,1303
19,0.5789473684210527,1,1999
20,0.05,2,92
20,0.35,1,1212
20,0.45,2,3739
20,0.75,1,1056
21,0.42857142857142855,1,2088
22,0.09090909090909091,1,3903
22,0.22727272727272727,1,3211
22,0.7272727272727273,1,1869
23,0.043478260869565216,2,3471
23,0.21739130434782608,1,204
25,0.04,1,267
25,0.64,1,3789
26,0.38461538461538464,2,935
26,0.4230769230769231,1,694
27,0.5555555555555556,1,212
28,0.03571428571428571,1,2210
33,0.030303030303030304,2,78
33,0.6363636363636364,2,424
34,0.3235294117647059,2,198
34,0.7058823529411765,1,303
35,0.08571428571428572,1,2786
35,0.2571428571428571,1,2365
36,0.8055555555555556,1,965
39,0.2564102564102564,2,235
39,0.358974358974359,1,745
40,0.425,1,1025
41,0.3170731707317073,1,986
41,0.7073170731707317,1,301
44,0.5681818181818182,1,1150
44,0.6590909090909091,2,98
44,0.7727272727272727,1,299
47,0.2553191489361702,2,3352
47,0.7872340425531915,1,62
51,0.6666666666666666,1,3562
54,0.6111111111111112,2,577
54,0.7777777777777778,1,1449
55,0.5636363636363636,2,347
55,0.5818181818181818,1,3472
56,0.16071428571428573,1,2680
57,0.5087719298245614,1,565
57,0.7017543859649122,1,193
60,0.7666666666666667,2,83
61,0.45901639344262296,1,1086
61,0.639344262295082,1,1207
62,0.6290322580645161,2,1308
63,0.015873015873015872,1,387
65,0.6,1,1997
65,0.676923076923077,2,239
68,0.4411764705882353,1,639
71,0.5352112676056338,1,325
72,0.1111111111111111,2,2730
72,0.6944444444444444,1,254
74,0.6621621621621622,2,2847
74,0.7972972972972973,1,69
79,0.759493670886076,2,587
80,0.7875,1,145
81,0.4691358024691358,2,155
81,0.691358024691358,2,984
84,0.6666666666666666,1,2761
86,0.09302325581395349,2,2343
86,0.7209302325581395,2,781
88,0.011363636363636364,1,21
89,0.16853932584269662,1,178
103,0.6213592233009708,1,165
103,0.6796116504854369,1,880
109,0.6513761467889908,1,513
109,0.6605504587155964,1,172
122,0.7131147540983607,1,583
134,0.7164179104477612,1,121
140,0.5714285714285714,1,129
153,0.6339869281045751,2,2035
153,0.7124183006535948,2,22
158,0.5443037974683544,2,1323
174,0.7241379310344828,1,248
327,0.5871559633027523,1,474
335,0.16417910447761194,1,123
379,0.47493403693931396,2,375
406,0.43596059113300495,2,491
